"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00115068","3.0","ERS199386","MGYS00001705","metagenomic",,"ERR209887",
"MGYA00102510","3.0","ERS1546054","MGYS00001537","metagenomic",,"ERR1823610",
"MGYA00102951","3.0","ERS1138858","MGYS00001556","metagenomic",,"ERR1398208",
"MGYA00114509","3.0","ERS199249","MGYS00001705","metagenomic",,"ERR209655",
"MGYA00113554","3.0","ERS199090","MGYS00001705","metagenomic",,"ERR209257",
"MGYA00128794","3.0","ERS473407","MGYS00001799","metagenomic",,"ERR526072",
"MGYA00128879","3.0","ERS473374","MGYS00001799","metagenomic",,"ERR526039",
"MGYA00128776","3.0","ERS473420","MGYS00001799","metagenomic",,"ERR526085",
"MGYA00128885","3.0","ERS473396","MGYS00001799","metagenomic",,"ERR526061",
"MGYA00114169","3.0","ERS199387","MGYS00001705","metagenomic",,"ERR209890",
"MGYA00129003","3.0","ERS473385","MGYS00001799","metagenomic",,"ERR526050",
"MGYA00096185","3.0","ERS1069641","MGYS00001420","metagenomic",,"ERR1297764",
"MGYA00128927","3.0","ERS473318","MGYS00001799","metagenomic",,"ERR525983",
"MGYA00095820","3.0","ERS1069647","MGYS00001420","metagenomic",,"ERR1297715",
"MGYA00069173","3.0","ERS1268600","MGYS00001184","metagenomic",,"ERR1549323",
"MGYA00128894","3.0","ERS473253","MGYS00001799","metagenomic",,"ERR525918",
"MGYA00113644","3.0","ERS199052","MGYS00001705","metagenomic",,"ERR209175",
"MGYA00128795","3.0","ERS473028","MGYS00001799","metagenomic",,"ERR525693",
"MGYA00103003","3.0","ERS1138896","MGYS00001556","metagenomic",,"ERR1398093",
"MGYA00128746","3.0","ERS473229","MGYS00001799","metagenomic",,"ERR525894",
"MGYA00128989","3.0","ERS473386","MGYS00001799","metagenomic",,"ERR526051",
"MGYA00071215","3.0","ERS1336020","MGYS00001209","metagenomic",,"ERR1611392",
"MGYA00114812","3.0","ERS199176","MGYS00001705","metagenomic",,"ERR209528",
"MGYA00114859","3.0","ERS199125","MGYS00001705","metagenomic",,"ERR209424",
"MGYA00128712","3.0","ERS473091","MGYS00001799","metagenomic",,"ERR525756",
"MGYA00128903","3.0","ERS473112","MGYS00001799","metagenomic",,"ERR525777",
"MGYA00095876","3.0","ERS1069683","MGYS00001420","metagenomic",,"ERR1297823",
"MGYA00114536","3.0","ERS199390","MGYS00001705","metagenomic",,"ERR209896",
"MGYA00113475","3.0","ERS199204","MGYS00001705","metagenomic",,"ERR209575",
"MGYA00102998","3.0","ERS1138759","MGYS00001556","metagenomic",,"ERR1398144",
"MGYA00113747","3.0","ERS199330","MGYS00001705","metagenomic",,"ERR209781",
"MGYA00128730","3.0","ERS473257","MGYS00001799","metagenomic",,"ERR525922",
"MGYA00114258","3.0","ERS199105","MGYS00001705","metagenomic",,"ERR209340",
"MGYA00128725","3.0","ERS473394","MGYS00001799","metagenomic",,"ERR526059",
"MGYA00103029","3.0","ERS1138751","MGYS00001556","metagenomic",,"ERR1398161",
"MGYA00114567","3.0","ERS199056","MGYS00001705","metagenomic",,"ERR209182",
"MGYA00067592","3.0","ERS1202877","MGYS00001143","metagenomic",,"ERR1474579",
"MGYA00113949","3.0","ERS199099","MGYS00001705","metagenomic",,"ERR209307",
"MGYA00128637","3.0","ERS473189","MGYS00001799","metagenomic",,"ERR525854",
"MGYA00128814","3.0","ERS473199","MGYS00001799","metagenomic",,"ERR525864",
"MGYA00128719","3.0","ERS473306","MGYS00001799","metagenomic",,"ERR525971",
"MGYA00115018","3.0","ERS199039","MGYS00001705","metagenomic",,"ERR209149",
"MGYA00113955","3.0","ERS199243","MGYS00001705","metagenomic",,"ERR209634",
"MGYA00114219","3.0","ERS199187","MGYS00001705","metagenomic",,"ERR209545",
"MGYA00114147","3.0","ERS199253","MGYS00001705","metagenomic",,"ERR209652",
"MGYA00114881","3.0","ERS199225","MGYS00001705","metagenomic",,"ERR209607",
"MGYA00102522","3.0","ERS1546052","MGYS00001537","metagenomic",,"ERR1823608",
"MGYA00113659","3.0","ERS199062","MGYS00001705","metagenomic",,"ERR209194",
"MGYA00114907","3.0","ERS199217","MGYS00001705","metagenomic",,"ERR209594",
"MGYA00096191","3.0","ERS1069678","MGYS00001420","metagenomic",,"ERR1297794",
"MGYA00113539","3.0","ERS199131","MGYS00001705","metagenomic",,"ERR209450",
"MGYA00114949","3.0","ERS199088","MGYS00001705","metagenomic",,"ERR209251",
"MGYA00113493","3.0","ERS199303","MGYS00001705","metagenomic",,"ERR209729",
"MGYA00114717","3.0","ERS199104","MGYS00001705","metagenomic",,"ERR209336",
"MGYA00084493","3.0","ERS1374916","MGYS00001303","metagenomic",,"ERR1681523",
"MGYA00096007","3.0","ERS1069654","MGYS00001420","metagenomic",,"ERR1297804",
"MGYA00089074","3.0","ERS1462082","MGYS00001342","metagenomic",,"ERR1744183",
"MGYA00114535","3.0","ERS199005","MGYS00001705","metagenomic",,"ERR209070",
"MGYA00128812","3.0","ERS473234","MGYS00001799","metagenomic",,"ERR525899",
"MGYA00114635","3.0","ERS199001","MGYS00001705","metagenomic",,"ERR209057",
"MGYA00103004","3.0","ERS1138783","MGYS00001556","metagenomic",,"ERR1398071",
"MGYA00071203","3.0","ERS1336047","MGYS00001209","metagenomic",,"ERR1611419",
"MGYA00067606","3.0","SRS512694","MGYS00001174","metagenomic",,"SRR1045092",
"MGYA00102893","3.0","ERS1138889","MGYS00001556","metagenomic",,"ERR1398186",
"MGYA00128871","3.0","ERS473362","MGYS00001799","metagenomic",,"ERR526027",
"MGYA00114754","3.0","ERS199098","MGYS00001705","metagenomic",,"ERR209303",
"MGYA00114839","3.0","ERS199128","MGYS00001705","metagenomic",,"ERR209438",
"MGYA00115042","3.0","ERS199060","MGYS00001705","metagenomic",,"ERR209191",
"MGYA00128810","3.0","ERS473280","MGYS00001799","metagenomic",,"ERR525945",
"MGYA00128688","3.0","ERS473312","MGYS00001799","metagenomic",,"ERR525977",
"MGYA00071171","3.0","ERS1324494","MGYS00001208","metagenomic",,"ERR1600434",
"MGYA00071200","3.0","ERS1336014","MGYS00001209","metagenomic",,"ERR1611386",
"MGYA00128845","3.0","ERS473332","MGYS00001799","metagenomic",,"ERR525997",
"MGYA00114038","3.0","ERS199389","MGYS00001705","metagenomic",,"ERR209891",
"MGYA00129012","3.0","ERS473200","MGYS00001799","metagenomic",,"ERR525865",
"MGYA00113828","3.0","ERS199112","MGYS00001705","metagenomic",,"ERR209376",
"MGYA00095941","3.0","ERS1069667","MGYS00001420","metagenomic",,"ERR1297646",
"MGYA00102982","3.0","ERS1138921","MGYS00001556","metagenomic",,"ERR1398261",
"MGYA00128858","3.0","ERS473285","MGYS00001799","metagenomic",,"ERR525950",
"MGYA00114311","3.0","ERS199297","MGYS00001705","metagenomic",,"ERR209719",
"MGYA00128687","3.0","ERS473213","MGYS00001799","metagenomic",,"ERR525878",
"MGYA00103030","3.0","ERS1138785","MGYS00001556","metagenomic",,"ERR1398165",
"MGYA00103014","3.0","ERS1138915","MGYS00001556","metagenomic",,"ERR1398130",
"MGYA00071221","3.0","ERS1336021","MGYS00001209","metagenomic",,"ERR1611393",
"MGYA00096030","3.0","ERS1069666","MGYS00001420","metagenomic",,"ERR1297677",
"MGYA00102496","3.0","ERS1546031","MGYS00001537","metagenomic",,"ERR1823587",
"MGYA00128780","3.0","ERS473355","MGYS00001799","metagenomic",,"ERR526020",
"MGYA00096980","3.0","ERS1509320","MGYS00001442","metagenomic",,"ERR1809142",
"MGYA00095917","3.0","ERS1069640","MGYS00001420","metagenomic",,"ERR1297786",
"MGYA00067614","3.0","SRS942313","MGYS00001174","metagenomic",,"SRR2034637",
"MGYA00128917","3.0","ERS473051","MGYS00001799","metagenomic",,"ERR525716",
"MGYA00114974","3.0","ERS199358","MGYS00001705","metagenomic",,"ERR209832",
"MGYA00128929","3.0","ERS473096","MGYS00001799","metagenomic",,"ERR525761",
"MGYA00114463","3.0","ERS199167","MGYS00001705","metagenomic",,"ERR209513",
"MGYA00128848","3.0","ERS473034","MGYS00001799","metagenomic",,"ERR525699",
"MGYA00113749","3.0","ERS199115","MGYS00001705","metagenomic",,"ERR209384",
"MGYA00128661","3.0","ERS473108","MGYS00001799","metagenomic",,"ERR525773",
"MGYA00114100","3.0","ERS199268","MGYS00001705","metagenomic",,"ERR209670",
"MGYA00114343","3.0","ERS199114","MGYS00001705","metagenomic",,"ERR209382",
"MGYA00128631","3.0","ERS473121","MGYS00001799","metagenomic",,"ERR525786",
"MGYA00128991","3.0","ERS473079","MGYS00001799","metagenomic",,"ERR525744",
"MGYA00114431","3.0","ERS199114","MGYS00001705","metagenomic",,"ERR209381",
"MGYA00128675","3.0","ERS473159","MGYS00001799","metagenomic",,"ERR525824",
"MGYA00096979","3.0","ERS1509328","MGYS00001442","metagenomic",,"ERR1809155",
"MGYA00102875","3.0","ERS1138914","MGYS00001556","metagenomic",,"ERR1398069",
"MGYA00114174","3.0","ERS199245","MGYS00001705","metagenomic",,"ERR209637",
"MGYA00113587","3.0","ERS199069","MGYS00001705","metagenomic",,"ERR209210",
"MGYA00096088","3.0","ERS1069642","MGYS00001420","metagenomic",,"ERR1297662",
"MGYA00114576","3.0","ERS199156","MGYS00001705","metagenomic",,"ERR209483",
"MGYA00128801","3.0","ERS473418","MGYS00001799","metagenomic",,"ERR526083",
"MGYA00114801","3.0","ERS199375","MGYS00001705","metagenomic",,"ERR209860",
"MGYA00128874","3.0","ERS473403","MGYS00001799","metagenomic",,"ERR526068",
"MGYA00114308","3.0","ERS199343","MGYS00001705","metagenomic",,"ERR209805",
"MGYA00114502","3.0","ERS199096","MGYS00001705","metagenomic",,"ERR210145",
"MGYA00128914","3.0","ERS473402","MGYS00001799","metagenomic",,"ERR526067",
"MGYA00128765","3.0","ERS473414","MGYS00001799","metagenomic",,"ERR526079",
"MGYA00114040","3.0","ERS199013","MGYS00001705","metagenomic",,"ERR209094",
"MGYA00128665","3.0","ERS473365","MGYS00001799","metagenomic",,"ERR526030",
"MGYA00128977","3.0","ERS473342","MGYS00001799","metagenomic",,"ERR526007",
"MGYA00102870","3.0","ERS1138839","MGYS00001556","metagenomic",,"ERR1398174",
"MGYA00102878","3.0","ERS1138765","MGYS00001556","metagenomic",,"ERR1398243",
"MGYA00113971","3.0","ERS199102","MGYS00001705","metagenomic",,"ERR209320",
"MGYA00128654","3.0","ERS473240","MGYS00001799","metagenomic",,"ERR525905",
"MGYA00128968","3.0","ERS473239","MGYS00001799","metagenomic",,"ERR525904",
"MGYA00128919","3.0","ERS473413","MGYS00001799","metagenomic",,"ERR526078",
"MGYA00128700","3.0","ERS473275","MGYS00001799","metagenomic",,"ERR525940",
"MGYA00113671","3.0","ERS199213","MGYS00001705","metagenomic",,"ERR209588",
"MGYA00128906","3.0","ERS473118","MGYS00001799","metagenomic",,"ERR525783",
"MGYA00114678","3.0","ERS199202","MGYS00001705","metagenomic",,"ERR209570",
"MGYA00114673","3.0","ERS199093","MGYS00001705","metagenomic",,"ERR209274",
"MGYA00122784","3.0","ERS1697079","MGYS00001728","metagenomic",,"ERR1951439",
"MGYA00114563","3.0","ERS199289","MGYS00001705","metagenomic",,"ERR209707",
"MGYA00113939","3.0","ERS199242","MGYS00001705","metagenomic",,"ERR209629",
"MGYA00102920","3.0","ERS1138827","MGYS00001556","metagenomic",,"ERR1398194",
"MGYA00128726","3.0","ERS473094","MGYS00001799","metagenomic",,"ERR525759",
"MGYA00113598","3.0","ERS199029","MGYS00001705","metagenomic",,"ERR209129",
"MGYA00114757","3.0","ERS199241","MGYS00001705","metagenomic",,"ERR209627",
"MGYA00128720","3.0","ERS473160","MGYS00001799","metagenomic",,"ERR525825",
"MGYA00128963","3.0","ERS473315","MGYS00001799","metagenomic",,"ERR525980",
"MGYA00114884","3.0","ERS199127","MGYS00001705","metagenomic",,"ERR209434",
"MGYA00128758","3.0","ERS473026","MGYS00001799","metagenomic",,"ERR525691",
"MGYA00128788","3.0","ERS473348","MGYS00001799","metagenomic",,"ERR526013",
"MGYA00113884","3.0","ERS199159","MGYS00001705","metagenomic",,"ERR209493",
"MGYA00115134","3.0","ERS199199","MGYS00001705","metagenomic",,"ERR209565",
"MGYA00114268","3.0","ERS199055","MGYS00001705","metagenomic",,"ERR209180",
"MGYA00128945","3.0","ERS473181","MGYS00001799","metagenomic",,"ERR525846",
"MGYA00113796","3.0","ERS199109","MGYS00001705","metagenomic",,"ERR209360",
"MGYA00089076","3.0","ERS1462088","MGYS00001342","metagenomic",,"ERR1744189",
"MGYA00128704","3.0","ERS473226","MGYS00001799","metagenomic",,"ERR525891",
"MGYA00113606","3.0","ERS199138","MGYS00001705","metagenomic",,"ERR209457",
"MGYA00095882","3.0","ERS1069683","MGYS00001420","metagenomic",,"ERR1297852",
"MGYA00102946","3.0","ERS1138924","MGYS00001556","metagenomic",,"ERR1398136",
"MGYA00128827","3.0","ERS473207","MGYS00001799","metagenomic",,"ERR525872",
"MGYA00114570","3.0","ERS199309","MGYS00001705","metagenomic",,"ERR209741",
"MGYA00114275","3.0","ERS199195","MGYS00001705","metagenomic",,"ERR209562",
"MGYA00102887","3.0","ERS1138820","MGYS00001556","metagenomic",,"ERR1398175",
"MGYA00095799","3.0","ERS1069691","MGYS00001420","metagenomic",,"ERR1297727",
"MGYA00097000","3.0","ERS1509316","MGYS00001442","metagenomic",,"ERR1809125",
"MGYA00114203","3.0","ERS199331","MGYS00001705","metagenomic",,"ERR209782",
"MGYA00128754","3.0","ERS473122","MGYS00001799","metagenomic",,"ERR525787",
"MGYA00113789","3.0","ERS199032","MGYS00001705","metagenomic",,"ERR209134",
"MGYA00095886","3.0","ERS1069659","MGYS00001420","metagenomic",,"ERR1297730",
"MGYA00128988","3.0","ERS473132","MGYS00001799","metagenomic",,"ERR525797",
"MGYA00067603","3.0","SRS512699","MGYS00001174","metagenomic",,"SRR1045097",
"MGYA00102972","3.0","ERS1138815","MGYS00001556","metagenomic",,"ERR1398087",
"MGYA00114113","3.0","ERS199085","MGYS00001705","metagenomic",,"ERR209241",
"MGYA00114765","3.0","ERS199079","MGYS00001705","metagenomic",,"ERR209229",
"MGYA00114542","3.0","ERS199097","MGYS00001705","metagenomic",,"ERR209300",
"MGYA00114076","3.0","ERS199075","MGYS00001705","metagenomic",,"ERR209222",
"MGYA00095902","3.0","ERS1069646","MGYS00001420","metagenomic",,"ERR1297731",
"MGYA00115035","3.0","ERS199112","MGYS00001705","metagenomic",,"ERR209375",
"MGYA00128697","3.0","ERS473341","MGYS00001799","metagenomic",,"ERR526006",
"MGYA00128913","3.0","ERS473335","MGYS00001799","metagenomic",,"ERR526000",
"MGYA00071227","3.0","ERS1336046","MGYS00001209","metagenomic",,"ERR1611418",
"MGYA00103056","3.0","ERS1138830","MGYS00001556","metagenomic",,"ERR1398094",
"MGYA00102915","3.0","ERS1138771","MGYS00001556","metagenomic",,"ERR1398126",
"MGYA00102864","3.0","ERS1138894","MGYS00001556","metagenomic",,"ERR1398185",
"MGYA00095861","3.0","ERS1069688","MGYS00001420","metagenomic",,"ERR1297843",
"MGYA00114072","3.0","ERS199019","MGYS00001705","metagenomic",,"ERR209109",
"MGYA00114381","3.0","ERS199095","MGYS00001705","metagenomic",,"ERR210141",
"MGYA00067618","3.0","SRS512700","MGYS00001174","metagenomic",,"SRR1045098",
"MGYA00067594","3.0","ERS1202869","MGYS00001143","metagenomic",,"ERR1474571",
"MGYA00114742","3.0","ERS199293","MGYS00001705","metagenomic",,"ERR209714",
"MGYA00096146","3.0","ERS1069652","MGYS00001420","metagenomic",,"ERR1297734",
"MGYA00128847","3.0","ERS473367","MGYS00001799","metagenomic",,"ERR526032",
"MGYA00071173","3.0","ERS1324491","MGYS00001208","metagenomic",,"ERR1600431",
"MGYA00128668","3.0","ERS473245","MGYS00001799","metagenomic",,"ERR525910",
"MGYA00113509","3.0","ERS199314","MGYS00001705","metagenomic",,"ERR209750",
"MGYA00067585","3.0","ERS1202882","MGYS00001143","metagenomic",,"ERR1474584",
"MGYA00114213","3.0","ERS199325","MGYS00001705","metagenomic",,"ERR209771",
"MGYA00102936","3.0","ERS1138843","MGYS00001556","metagenomic",,"ERR1398095",
"MGYA00113928","3.0","ERS199248","MGYS00001705","metagenomic",,"ERR209646",
"MGYA00096125","3.0","ERS1069690","MGYS00001420","metagenomic",,"ERR1297647",
"MGYA00128761","3.0","ERS473198","MGYS00001799","metagenomic",,"ERR525863",
"MGYA00114843","3.0","ERS199095","MGYS00001705","metagenomic",,"ERR209287",
"MGYA00114797","3.0","ERS199101","MGYS00001705","metagenomic",,"ERR209318",
"MGYA00114869","3.0","ERS199259","MGYS00001705","metagenomic",,"ERR209661",
"MGYA00095962","3.0","ERS1069662","MGYS00001420","metagenomic",,"ERR1297756",
"MGYA00103055","3.0","ERS1138809","MGYS00001556","metagenomic",,"ERR1398171",
"MGYA00114291","3.0","ERS199091","MGYS00001705","metagenomic",,"ERR209263",
"MGYA00128681","3.0","ERS473185","MGYS00001799","metagenomic",,"ERR525850",
"MGYA00128857","3.0","ERS473134","MGYS00001799","metagenomic",,"ERR525799",
"MGYA00114245","3.0","ERS199320","MGYS00001705","metagenomic",,"ERR209761",
"MGYA00114488","3.0","ERS199222","MGYS00001705","metagenomic",,"ERR209604",
"MGYA00114333","3.0","ERS199072","MGYS00001705","metagenomic",,"ERR209215",
"MGYA00102961","3.0","ERS1138756","MGYS00001556","metagenomic",,"ERR1398113",
"MGYA00114414","3.0","ERS199126","MGYS00001705","metagenomic",,"ERR209430",
"MGYA00114366","3.0","ERS199181","MGYS00001705","metagenomic",,"ERR209535",
"MGYA00096140","3.0","ERS1069682","MGYS00001420","metagenomic",,"ERR1297736",
"MGYA00128816","3.0","ERS473157","MGYS00001799","metagenomic",,"ERR525822",
"MGYA00114464","3.0","ERS199125","MGYS00001705","metagenomic",,"ERR209426",
"MGYA00103022","3.0","ERS1138872","MGYS00001556","metagenomic",,"ERR1398199",
"MGYA00128955","3.0","ERS473165","MGYS00001799","metagenomic",,"ERR525830",
"MGYA00096076","3.0","ERS1069672","MGYS00001420","metagenomic",,"ERR1297832",
"MGYA00095893","3.0","ERS1069637","MGYS00001420","metagenomic",,"ERR1297797",
"MGYA00128960","3.0","ERS473205","MGYS00001799","metagenomic",,"ERR525870",
"MGYA00114887","3.0","ERS199230","MGYS00001705","metagenomic",,"ERR209614",
"MGYA00114750","3.0","ERS199065","MGYS00001705","metagenomic",,"ERR209200",
"MGYA00103009","3.0","ERS1138813","MGYS00001556","metagenomic",,"ERR1398215",
"MGYA00113524","3.0","ERS199121","MGYS00001705","metagenomic",,"ERR209409",
"MGYA00114923","3.0","ERS199107","MGYS00001705","metagenomic",,"ERR209350",
"MGYA00128723","3.0","ERS473138","MGYS00001799","metagenomic",,"ERR525803",
"MGYA00113767","3.0","ERS199092","MGYS00001705","metagenomic",,"ERR209268",
"MGYA00128823","3.0","ERS473211","MGYS00001799","metagenomic",,"ERR525876",
"MGYA00128947","3.0","ERS473139","MGYS00001799","metagenomic",,"ERR525804",
"MGYA00114382","3.0","ERS199028","MGYS00001705","metagenomic",,"ERR209127",
"MGYA00096043","3.0","ERS1069650","MGYS00001420","metagenomic",,"ERR1297838",
"MGYA00113459","3.0","ERS199152","MGYS00001705","metagenomic",,"ERR209478",
"MGYA00096200","3.0","ERS1069678","MGYS00001420","metagenomic",,"ERR1297654",
"MGYA00113521","3.0","ERS199373","MGYS00001705","metagenomic",,"ERR209856",
