"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00083471","3.0","ERS1372610","MGYS00001282","metagenomic",,"ERR1664714",
"MGYA00126380","3.0","SRS085685","MGYS00000355","metagenomic",,"SRR062158",
"MGYA00133872","3.0","ERS489113","MGYS00001918","metagenomic",,"ERR594403",
"MGYA00104104","3.0","ERS614333","MGYS00001609","metagenomic",,"ERR694183",
"MGYA00083337","3.0","ERS1370015","MGYS00001282","metagenomic",,"ERR1662424",
"MGYA00126361","3.0","SRS085762","MGYS00000355","metagenomic",,"SRR062239",
"MGYA00083212","3.0","ERS1370025","MGYS00001282","metagenomic",,"ERR1662318",
"MGYA00100635","3.0","ERS1286109","MGYS00001512","metagenomic",,"ERR1560024",
"MGYA00104198","3.0","ERS614333","MGYS00001609","metagenomic",,"ERR694192",
"MGYA00083108","3.0","ERS1370021","MGYS00001282","metagenomic",,"ERR1662517",
"MGYA00083290","3.0","ERS1370026","MGYS00001282","metagenomic",,"ERR1662336",
"MGYA00083252","3.0","ERS1370021","MGYS00001282","metagenomic",,"ERR1662519",
"MGYA00133921","3.0","ERS489729","MGYS00001918","metagenomic",,"ERR599371",
"MGYA00126388","3.0","SRS085731","MGYS00000355","metagenomic",,"SRR062204",
"MGYA00083215","3.0","ERS1370018","MGYS00001282","metagenomic",,"ERR1662232",
"MGYA00083291","3.0","ERS1372607","MGYS00001282","metagenomic",,"ERR1664701",
"MGYA00083430","3.0","ERS1370014","MGYS00001282","metagenomic",,"ERR1662413",
"MGYA00126363","3.0","SRS085743","MGYS00000355","metagenomic",,"SRR062217",
"MGYA00131528","3.0","SRS172668","MGYS00001836","metagenomic",,"SRR100497",
"MGYA00083376","3.0","ERS1370015","MGYS00001282","metagenomic",,"ERR1662429",
"MGYA00133885","3.0","ERS492941","MGYS00001918","metagenomic",,"ERR599338",
"MGYA00134800","3.0","SRS981318","MGYS00001932","metagenomic",,"SRR2090075",
"MGYA00083370","3.0","ERS1370026","MGYS00001282","metagenomic",,"ERR1662341",
"MGYA00083102","3.0","ERS1372607","MGYS00001282","metagenomic",,"ERR1664703",
"MGYA00103315","3.0","ERS1176154","MGYS00000991","metagenomic",,"ERR1424906",
"MGYA00103988","3.0","ERS714917","MGYS00001608","metagenomic",,"ERR868031",
"MGYA00103350","3.0","ERS1569003","MGYS00000991","metagenomic",,"ERR1855260",
"MGYA00083380","3.0","ERS1370016","MGYS00001282","metagenomic",,"ERR1662456",
"MGYA00102599","3.0","SRS1043978","MGYS00001539","metagenomic",,"SRR2135759",
"MGYA00126413","3.0","SRS085749","MGYS00000355","metagenomic",,"SRR062224",
"MGYA00103319","3.0","ERS1176153","MGYS00000991","metagenomic",,"ERR1424905",
"MGYA00103316","3.0","ERS1569007","MGYS00000991","metagenomic",,"ERR1855255",
"MGYA00083205","3.0","ERS1370021","MGYS00001282","metagenomic",,"ERR1662516",
"MGYA00103329","3.0","ERS1176150","MGYS00000991","metagenomic",,"ERR1424902",
"MGYA00133865","3.0","ERS491123","MGYS00001918","metagenomic",,"ERR599373",
"MGYA00098222","3.0","ERS510182","MGYS00001464","metagenomic",,"ERR567366",
"MGYA00083210","3.0","ERS1370025","MGYS00001282","metagenomic",,"ERR1662316",
"MGYA00083162","3.0","ERS1370014","MGYS00001282","metagenomic",,"ERR1662396",
"MGYA00083474","3.0","ERS1370021","MGYS00001282","metagenomic",,"ERR1662525",
"MGYA00083139","3.0","ERS1370018","MGYS00001282","metagenomic",,"ERR1662218",
"MGYA00133824","3.0","ERS492035","MGYS00001918","metagenomic",,"ERR599349",
"MGYA00083270","3.0","ERS1370026","MGYS00001282","metagenomic",,"ERR1662340",
"MGYA00134762","3.0","SRS981324","MGYS00001932","metagenomic",,"SRR2090069",
"MGYA00083462","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662388",
"MGYA00104107","3.0","ERS614331","MGYS00001609","metagenomic",,"ERR694170",
"MGYA00133828","3.0","ERS488518","MGYS00001918","metagenomic",,"ERR594375",
"MGYA00131527","3.0","SRS172668","MGYS00001836","metagenomic",,"SRR107110",
"MGYA00085841","3.0","ERS1396361","MGYS00001320","metagenomic",,"ERR1739694",
"MGYA00126346","3.0","SRS085704","MGYS00000355","metagenomic",,"SRR062177",
"MGYA00098663","3.0","ERS903620","MGYS00001488","metagenomic",,"ERR1055649",
"MGYA00083414","3.0","ERS1370024","MGYS00001282","metagenomic",,"ERR1662283",
"MGYA00083313","3.0","ERS1370020","MGYS00001282","metagenomic",,"ERR1662470",
"MGYA00126387","3.0","SRS085759","MGYS00000355","metagenomic",,"SRR062236",
"MGYA00104197","3.0","ERS614327","MGYS00001609","metagenomic",,"ERR694123",
"MGYA00133839","3.0","ERS488354","MGYS00001918","metagenomic",,"ERR594352",
"MGYA00126465","3.0","SRS085740","MGYS00000355","metagenomic",,"SRR062214",
"MGYA00083402","3.0","ERS1370023","MGYS00001282","metagenomic",,"ERR1662258",
"MGYA00083417","3.0","ERS1370025","MGYS00001282","metagenomic",,"ERR1662290",
"MGYA00083407","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662374",
"MGYA00102582","3.0","SRS1044035","MGYS00001539","metagenomic",,"SRR2135687",
"MGYA00103982","3.0","ERS714918","MGYS00001608","metagenomic",,"ERR868101",
"MGYA00083495","3.0","ERS1370013","MGYS00001282","metagenomic",,"ERR1662196",
"MGYA00102567","3.0","SRS1043972","MGYS00001539","metagenomic",,"SRR2135774",
"MGYA00133888","3.0","ERS489332","MGYS00001918","metagenomic",,"ERR599344",
"MGYA00134812","3.0","SRS981307","MGYS00001932","metagenomic",,"SRR2090086",
"MGYA00102827","3.0","ERS488919","MGYS00000410","metagenomic",,"ERR1701760",
"MGYA00083325","3.0","ERS1370025","MGYS00001282","metagenomic",,"ERR1662323",
"MGYA00083449","3.0","ERS1370015","MGYS00001282","metagenomic",,"ERR1662439",
"MGYA00133887","3.0","ERS489084","MGYS00001918","metagenomic",,"ERR594373",
"MGYA00103369","3.0","ERS1568993","MGYS00000991","metagenomic",,"ERR1855265",
"MGYA00133899","3.0","ERS491107","MGYS00001918","metagenomic",,"ERR594377",
"MGYA00133832","3.0","ERS488701","MGYS00001918","metagenomic",,"ERR594390",
"MGYA00083303","3.0","ERS1370018","MGYS00001282","metagenomic",,"ERR1662224",
"MGYA00084059","3.0","ERS1418473","MGYS00001291","metagenomic",,"ERR1698983",
"MGYA00133851","3.0","ERS491851","MGYS00001918","metagenomic",,"ERR599342",
"MGYA00083259","3.0","ERS1372604","MGYS00001282","metagenomic",,"ERR1664683",
"MGYA00084047","3.0","ERS1418479","MGYS00001291","metagenomic",,"ERR1698987",
"MGYA00083347","3.0","ERS1372612","MGYS00001282","metagenomic",,"ERR1664729",
"MGYA00104091","3.0","ERS614323","MGYS00001609","metagenomic",,"ERR694212",
"MGYA00103964","3.0","ERS714918","MGYS00001608","metagenomic",,"ERR868097",
"MGYA00103346","3.0","ERS1569002","MGYS00000991","metagenomic",,"ERR1855252",
"MGYA00103949","3.0","ERS714917","MGYS00001608","metagenomic",,"ERR868045",
"MGYA00103340","3.0","ERS1176157","MGYS00000991","metagenomic",,"ERR1424909",
"MGYA00083118","3.0","ERS1370017","MGYS00001282","metagenomic",,"ERR1662207",
"MGYA00083317","3.0","ERS1370026","MGYS00001282","metagenomic",,"ERR1662335",
"MGYA00133927","3.0","ERS490245","MGYS00001918","metagenomic",,"ERR599382",
"MGYA00102570","3.0","SRS1043997","MGYS00001539","metagenomic",,"SRR2135729",
"MGYA00133831","3.0","ERS489084","MGYS00001918","metagenomic",,"ERR594372",
"MGYA00083349","3.0","ERS1370024","MGYS00001282","metagenomic",,"ERR1662286",
"MGYA00133873","3.0","ERS490120","MGYS00001918","metagenomic",,"ERR594414",
"MGYA00133900","3.0","ERS490557","MGYS00001918","metagenomic",,"ERR594354",
"MGYA00100636","3.0","ERS1286204","MGYS00001512","metagenomic",,"ERR1560103",
"MGYA00083420","3.0","ERS1372605","MGYS00001282","metagenomic",,"ERR1664692",
"MGYA00083306","3.0","ERS1370021","MGYS00001282","metagenomic",,"ERR1662508",
"MGYA00103963","3.0","ERS714918","MGYS00001608","metagenomic",,"ERR868103",
"MGYA00103347","3.0","ERS1176151","MGYS00000991","metagenomic",,"ERR1424903",
"MGYA00126336","3.0","SRS085710","MGYS00000355","metagenomic",,"SRR062183",
"MGYA00134788","3.0","SRS981316","MGYS00001932","metagenomic",,"SRR2090077",
"MGYA00126341","3.0","SRS085782","MGYS00000355","metagenomic",,"SRR062261",
"MGYA00126428","3.0","SRS085781","MGYS00000355","metagenomic",,"SRR062259",
"MGYA00103327","3.0","ERS1176158","MGYS00000991","metagenomic",,"ERR1424910",
"MGYA00103334","3.0","ERS1568978","MGYS00000991","metagenomic",,"ERR1855274",
"MGYA00102591","3.0","SRS1043994","MGYS00001539","metagenomic",,"SRR2135732",
"MGYA00104141","3.0","ERS614329","MGYS00001609","metagenomic",,"ERR694139",
"MGYA00096442","3.0","ERS1507288","MGYS00001432","metagenomic",,"ERR1801668",
"MGYA00100651","3.0","ERS1286194","MGYS00001512","metagenomic",,"ERR1560093",
"MGYA00126376","3.0","SRS085668","MGYS00000355","metagenomic",,"SRR062141",
"MGYA00134793","3.0","SRS981327","MGYS00001932","metagenomic",,"SRR2090066",
"MGYA00133912","3.0","ERS492714","MGYS00001918","metagenomic",,"ERR599377",
"MGYA00083366","3.0","ERS1372604","MGYS00001282","metagenomic",,"ERR1664675",
"MGYA00126451","3.0","SRS085753","MGYS00000355","metagenomic",,"SRR062230",
"MGYA00126394","3.0","SRS085741","MGYS00000355","metagenomic",,"SRR062215",
"MGYA00096452","3.0","ERS1507287","MGYS00001432","metagenomic",,"ERR1801635",
"MGYA00083439","3.0","ERS1372604","MGYS00001282","metagenomic",,"ERR1664678",
"MGYA00083231","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662359",
"MGYA00083299","3.0","ERS1372606","MGYS00001282","metagenomic",,"ERR1664694",
"MGYA00104142","3.0","ERS614327","MGYS00001609","metagenomic",,"ERR694114",
"MGYA00103362","3.0","ERS1568966","MGYS00000991","metagenomic",,"ERR1855287",
"MGYA00083381","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662356",
"MGYA00083235","3.0","ERS1370018","MGYS00001282","metagenomic",,"ERR1662209",
"MGYA00083129","3.0","ERS1372605","MGYS00001282","metagenomic",,"ERR1664689",
"MGYA00083455","3.0","ERS1370018","MGYS00001282","metagenomic",,"ERR1662220",
"MGYA00133817","3.0","ERS489943","MGYS00001918","metagenomic",,"ERR594392",
"MGYA00083413","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662363",
"MGYA00133908","3.0","ERS489084","MGYS00001918","metagenomic",,"ERR594366",
"MGYA00103339","3.0","ERS1569004","MGYS00000991","metagenomic",,"ERR1855259",
"MGYA00083504","3.0","ERS1370020","MGYS00001282","metagenomic",,"ERR1662476",
"MGYA00102568","3.0","SRS1043967","MGYS00001539","metagenomic",,"SRR2135741",
"MGYA00083463","3.0","ERS1370025","MGYS00001282","metagenomic",,"ERR1662310",
"MGYA00083451","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662372",
"MGYA00084058","3.0","ERS1418480","MGYS00001291","metagenomic",,"ERR1698988",
"MGYA00083223","3.0","ERS1370024","MGYS00001282","metagenomic",,"ERR1662284",
"MGYA00083433","3.0","ERS1370020","MGYS00001282","metagenomic",,"ERR1662503",
"MGYA00083364","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662375",
"MGYA00083140","3.0","ERS1370016","MGYS00001282","metagenomic",,"ERR1662451",
"MGYA00133835","3.0","ERS493718","MGYS00001918","metagenomic",,"ERR599366",
"MGYA00098224","3.0","ERS510180","MGYS00001464","metagenomic",,"ERR567364",
"MGYA00104089","3.0","ERS614329","MGYS00001609","metagenomic",,"ERR694145",
"MGYA00126354","3.0","SRS085738","MGYS00000355","metagenomic",,"SRR062212",
"MGYA00100646","3.0","ERS1286206","MGYS00001512","metagenomic",,"ERR1560105",
"MGYA00083266","3.0","ERS1370013","MGYS00001282","metagenomic",,"ERR1662194",
"MGYA00083177","3.0","ERS1370015","MGYS00001282","metagenomic",,"ERR1662428",
"MGYA00083483","3.0","ERS1370015","MGYS00001282","metagenomic",,"ERR1662421",
"MGYA00083382","3.0","ERS1370020","MGYS00001282","metagenomic",,"ERR1662502",
"MGYA00133877","3.0","ERS489285","MGYS00001918","metagenomic",,"ERR594376",
"MGYA00134763","3.0","SRS981331","MGYS00001932","metagenomic",,"SRR2090061",
"MGYA00083361","3.0","ERS1370023","MGYS00001282","metagenomic",,"ERR1662262",
"MGYA00098662","3.0","ERS903637","MGYS00001488","metagenomic",,"ERR1055666",
"MGYA00126396","3.0","SRS085750","MGYS00000355","metagenomic",,"SRR062225",
