"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00197535","4.1","SRS1953338","MGYS00002679","metagenomic",,"SRR5223441",
"MGYA00152075","4.1","ERS808424","MGYS00000539","metagenomic",,"ERR978997",
"MGYA00147267","4.1","ERS2178310","MGYS00002199","metagenomic",,"ERR2282011",
"MGYA00147274","4.1","ERS2178321","MGYS00002199","metagenomic",,"ERR2282022",
"MGYA00197534","4.1","SRS1953339","MGYS00002679","metagenomic",,"SRR5223442",
"MGYA00147276","4.1","ERS2178320","MGYS00002199","metagenomic",,"ERR2282021",
"MGYA00147280","4.1","ERS2178317","MGYS00002199","metagenomic",,"ERR2282018",
"MGYA00197536","4.1","SRS1953340","MGYS00002679","metagenomic",,"SRR5223443",
"MGYA00147278","4.1","ERS2178309","MGYS00002199","metagenomic",,"ERR2282010",
"MGYA00147268","4.1","ERS2178311","MGYS00002199","metagenomic",,"ERR2282012",
"MGYA00147275","4.1","ERS2178308","MGYS00002199","metagenomic",,"ERR2282009",
"MGYA00147273","4.1","ERS2178315","MGYS00002199","metagenomic",,"ERR2282016",
"MGYA00147279","4.1","ERS2178312","MGYS00002199","metagenomic",,"ERR2282013",
"MGYA00147277","4.1","ERS2178316","MGYS00002199","metagenomic",,"ERR2282017",
"MGYA00147272","4.1","ERS2178314","MGYS00002199","metagenomic",,"ERR2282015",
"MGYA00147271","4.1","ERS2178318","MGYS00002199","metagenomic",,"ERR2282019",
"MGYA00147270","4.1","ERS2178313","MGYS00002199","metagenomic",,"ERR2282014",
"MGYA00147269","4.1","ERS2178319","MGYS00002199","metagenomic",,"ERR2282020",
