"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00103298","3.0","ERS1572722","MGYS00001566","metagenomic",,"ERR1857214",
"MGYA00103296","3.0","ERS1572693","MGYS00001566","metagenomic",,"ERR1857185",
"MGYA00103269","3.0","ERS1572695","MGYS00001566","metagenomic",,"ERR1857187",
"MGYA00131888","3.0","DRS034401","MGYS00001851","metagenomic",,"DRR066656",
"MGYA00095129","3.0","ERS805497","MGYS00001392","metagenomic",,"ERR977415",
"MGYA00095140","3.0","ERS805488","MGYS00001392","metagenomic",,"ERR977410",
"MGYA00103266","3.0","ERS1572703","MGYS00001566","metagenomic",,"ERR1857195",
"MGYA00103270","3.0","ERS1572714","MGYS00001566","metagenomic",,"ERR1857206",
"MGYA00097785","3.0","ERS1545892","MGYS00001453","metagenomic",,"ERR1823511",
"MGYA00095135","3.0","ERS805492","MGYS00001392","metagenomic",,"ERR977403",
"MGYA00103272","3.0","ERS1572706","MGYS00001566","metagenomic",,"ERR1857198",
"MGYA00082010","3.0","SRS976605","MGYS00001277","metagenomic",,"SRR2107218",
"MGYA00131879","3.0","DRS034400","MGYS00001851","metagenomic",,"DRR066655",
"MGYA00095058","3.0","ERS223627","MGYS00001389","metagenomic",,"ERR276848",
"MGYA00103293","3.0","ERS1572697","MGYS00001566","metagenomic",,"ERR1857189",
"MGYA00095144","3.0","ERS805495","MGYS00001392","metagenomic",,"ERR977406",
"MGYA00097786","3.0","ERS1545893","MGYS00001453","metagenomic",,"ERR1823512",
"MGYA00095142","3.0","ERS805497","MGYS00001392","metagenomic",,"ERR977416",
"MGYA00082006","3.0","SRS976605","MGYS00001277","metagenomic",,"SRR2107219",
"MGYA00082027","3.0","SRS976068","MGYS00001277","metagenomic",,"SRR2107179",
"MGYA00103284","3.0","ERS1572698","MGYS00001566","metagenomic",,"ERR1857190",
"MGYA00103282","3.0","ERS1572696","MGYS00001566","metagenomic",,"ERR1857188",
"MGYA00082016","3.0","SRS976080","MGYS00001277","metagenomic",,"SRR2107216",
"MGYA00095116","3.0","ERS918710","MGYS00001391","metagenomic",,"ERR1076076",
"MGYA00095134","3.0","ERS805499","MGYS00001392","metagenomic",,"ERR977420",
"MGYA00095119","3.0","ERS918710","MGYS00001391","metagenomic",,"ERR1076074",
"MGYA00095137","3.0","ERS805496","MGYS00001392","metagenomic",,"ERR977413",
"MGYA00103274","3.0","ERS1572716","MGYS00001566","metagenomic",,"ERR1857208",
"MGYA00103291","3.0","ERS1572723","MGYS00001566","metagenomic",,"ERR1857215",
"MGYA00131884","3.0","DRS034402","MGYS00001851","metagenomic",,"DRR066657",
"MGYA00095126","3.0","ERS805486","MGYS00001392","metagenomic",,"ERR977407",
"MGYA00103277","3.0","ERS1572694","MGYS00001566","metagenomic",,"ERR1857186",
"MGYA00082025","3.0","SRS976081","MGYS00001277","metagenomic",,"SRR2107185",
"MGYA00095147","3.0","ERS805497","MGYS00001392","metagenomic",,"ERR977414",
"MGYA00103280","3.0","ERS1572689","MGYS00001566","metagenomic",,"ERR1857181",
"MGYA00131886","3.0","DRS034404","MGYS00001851","metagenomic",,"DRR066659",
"MGYA00082015","3.0","SRS976072","MGYS00001277","metagenomic",,"SRR2107180",
"MGYA00094779","3.0","ERS666859","MGYS00001382","metagenomic",,"ERR770583",
"MGYA00095125","3.0","ERS918710","MGYS00001391","metagenomic",,"ERR1076080",
"MGYA00103281","3.0","ERS1572702","MGYS00001566","metagenomic",,"ERR1857194",
"MGYA00103275","3.0","ERS1572719","MGYS00001566","metagenomic",,"ERR1857211",
"MGYA00082011","3.0","SRS976072","MGYS00001277","metagenomic",,"SRR2107181",
"MGYA00095118","3.0","ERS918710","MGYS00001391","metagenomic",,"ERR1076077",
"MGYA00095141","3.0","ERS805496","MGYS00001392","metagenomic",,"ERR977412",
"MGYA00094774","3.0","ERS666855","MGYS00001382","metagenomic",,"ERR770579",
"MGYA00095148","3.0","ERS805498","MGYS00001392","metagenomic",,"ERR977418",
"MGYA00095121","3.0","ERS918710","MGYS00001391","metagenomic",,"ERR1076073",
"MGYA00095131","3.0","ERS805493","MGYS00001392","metagenomic",,"ERR977404",
"MGYA00103276","3.0","ERS1572717","MGYS00001566","metagenomic",,"ERR1857209",
"MGYA00103271","3.0","ERS1572709","MGYS00001566","metagenomic",,"ERR1857201",
"MGYA00082007","3.0","SRS976078","MGYS00001277","metagenomic",,"SRR2107183",
"MGYA00103267","3.0","ERS1572712","MGYS00001566","metagenomic",,"ERR1857204",
"MGYA00095138","3.0","ERS805487","MGYS00001392","metagenomic",,"ERR977408",
"MGYA00082014","3.0","SRS976079","MGYS00001277","metagenomic",,"SRR2107213",
"MGYA00131887","3.0","DRS034403","MGYS00001851","metagenomic",,"DRR066658",
"MGYA00103268","3.0","ERS1572708","MGYS00001566","metagenomic",,"ERR1857200",
"MGYA00103286","3.0","ERS1572701","MGYS00001566","metagenomic",,"ERR1857193",
"MGYA00103273","3.0","ERS1572711","MGYS00001566","metagenomic",,"ERR1857203",
"MGYA00103285","3.0","ERS1572707","MGYS00001566","metagenomic",,"ERR1857199",
"MGYA00082004","3.0","SRS976078","MGYS00001277","metagenomic",,"SRR2107182",
"MGYA00095133","3.0","ERS805491","MGYS00001392","metagenomic",,"ERR977425",
"MGYA00094778","3.0","ERS666857","MGYS00001382","metagenomic",,"ERR770581",
"MGYA00094775","3.0","ERS666856","MGYS00001382","metagenomic",,"ERR770580",
"MGYA00097784","3.0","ERS1545891","MGYS00001453","metagenomic",,"ERR1823510",
"MGYA00095139","3.0","ERS805499","MGYS00001392","metagenomic",,"ERR977422",
"MGYA00082021","3.0","SRS976081","MGYS00001277","metagenomic",,"SRR2107184",
"MGYA00103299","3.0","ERS1572700","MGYS00001566","metagenomic",,"ERR1857192",
"MGYA00103264","3.0","ERS1572720","MGYS00001566","metagenomic",,"ERR1857212",
"MGYA00095132","3.0","ERS805496","MGYS00001392","metagenomic",,"ERR977411",
"MGYA00094777","3.0","ERS666858","MGYS00001382","metagenomic",,"ERR770582",
"MGYA00095124","3.0","ERS918710","MGYS00001391","metagenomic",,"ERR1076075",
"MGYA00095120","3.0","ERS918710","MGYS00001391","metagenomic",,"ERR1076081",
"MGYA00095146","3.0","ERS805489","MGYS00001392","metagenomic",,"ERR977423",
"MGYA00082018","3.0","SRS976082","MGYS00001277","metagenomic",,"SRR2107210",
"MGYA00095130","3.0","ERS805487","MGYS00001392","metagenomic",,"ERR977409",
"MGYA00095127","3.0","ERS805499","MGYS00001392","metagenomic",,"ERR977421",
"MGYA00082009","3.0","SRS976068","MGYS00001277","metagenomic",,"SRR2107178",
"MGYA00103288","3.0","ERS1572718","MGYS00001566","metagenomic",,"ERR1857210",
"MGYA00095128","3.0","ERS805490","MGYS00001392","metagenomic",,"ERR977424",
"MGYA00103292","3.0","ERS1572710","MGYS00001566","metagenomic",,"ERR1857202",
"MGYA00095136","3.0","ERS805494","MGYS00001392","metagenomic",,"ERR977405",
"MGYA00103287","3.0","ERS1572715","MGYS00001566","metagenomic",,"ERR1857207",
"MGYA00103294","3.0","ERS1572713","MGYS00001566","metagenomic",,"ERR1857205",
"MGYA00103265","3.0","ERS1572699","MGYS00001566","metagenomic",,"ERR1857191",
"MGYA00102737","3.0","ERS632930","MGYS00001542","metagenomic",,"ERR712390",
"MGYA00082020","3.0","SRS976082","MGYS00001277","metagenomic",,"SRR2107211",
"MGYA00103279","3.0","ERS1572691","MGYS00001566","metagenomic",,"ERR1857183",
"MGYA00082023","3.0","SRS976080","MGYS00001277","metagenomic",,"SRR2107215",
"MGYA00095143","3.0","ERS805498","MGYS00001392","metagenomic",,"ERR977417",
"MGYA00095117","3.0","ERS918710","MGYS00001391","metagenomic",,"ERR1076078",
"MGYA00103297","3.0","ERS1572724","MGYS00001566","metagenomic",,"ERR1857216",
"MGYA00095122","3.0","ERS918710","MGYS00001391","metagenomic",,"ERR1076082",
"MGYA00082026","3.0","SRS976606","MGYS00001277","metagenomic",,"SRR2107177",
"MGYA00082005","3.0","SRS976079","MGYS00001277","metagenomic",,"SRR2107212",
"MGYA00103290","3.0","ERS1572690","MGYS00001566","metagenomic",,"ERR1857182",
"MGYA00082019","3.0","SRS976606","MGYS00001277","metagenomic",,"SRR2107176",
"MGYA00103283","3.0","ERS1572692","MGYS00001566","metagenomic",,"ERR1857184",
"MGYA00103295","3.0","ERS1572705","MGYS00001566","metagenomic",,"ERR1857197",
"MGYA00095769","3.0","ERS805484","MGYS00001418","metagenomic",,"ERR977400",
"MGYA00131882","3.0","DRS034405","MGYS00001851","metagenomic",,"DRR066660",
"MGYA00095145","3.0","ERS805498","MGYS00001392","metagenomic",,"ERR977419",
"MGYA00103289","3.0","ERS1572704","MGYS00001566","metagenomic",,"ERR1857196",
"MGYA00094776","3.0","ERS666860","MGYS00001382","metagenomic",,"ERR770584",
"MGYA00095123","3.0","ERS918710","MGYS00001391","metagenomic",,"ERR1076079",
"MGYA00103278","3.0","ERS1572721","MGYS00001566","metagenomic",,"ERR1857213",
